Date,Close,Volume,MA10,MA20,RSI,MACD,MACD_signal,Upper_BB,Middle_BB,Lower_BB,ATR,ADX
2020-07-17,607.0,8994.459,619.0,592.95,60.75392789508315,30.45280476095877,35.30855010777237,659.8154619366363,592.95,526.0845380633638,20.50753195057653,50.61423775534274
2020-07-20,601.0,9008.151,620.2,597.35,58.603320127952195,27.916205338398527,33.8300811538976,653.2795092057839,597.35,541.4204907942161,20.542708239821064,49.05421902567089
2020-07-21,637.0,15777.808,622.1,601.9,66.30937143145957,28.482502596069025,32.76056544233189,655.1199210822423,601.9,548.6800789177577,22.0753719369767,48.603955411412755
2020-07-22,664.0,17852.109,622.4,606.3,70.71279320584833,30.755442013376978,32.35954075654091,664.5412225146439,606.3,548.058777485356,22.855702512906937,48.804647521834355
2020-07-23,677.0,17281.987,625.0,611.45,72.57164676491989,33.22278267350862,32.53218913993445,675.3013116544975,611.45,547.5986883455026,23.651723761985014,49.31395684665005
2020-07-24,675.0,24419.901,630.9,616.2,71.8164459339358,34.61773296080821,32.9492979041092,683.9985250577007,616.2,548.4014749422994,24.319457778986084,50.058174064566174
2020-07-27,728.0,21292.219,640.8,624.35,78.26984890332818,39.54405887865482,34.268250099018324,703.7635378886987,624.35,544.9364621113014,27.01092508048708,51.22308733878849
2020-07-28,680.0,36040.539,647.7,629.4,63.98108453179461,39.12401156211115,35.23940239163689,709.4784615236834,629.4,549.3215384763165,31.010144717595146,52.59179554168769
2020-07-29,682.0,14464.939,655.0,634.65,64.27374302920536,38.50860113960982,35.893242141231475,714.0635378887001,634.65,555.2364621112998,30.72370580919549,53.12715749991995
2020-07-30,683.0,13693.896,663.4,640.1,64.42936710547579,37.667369599022095,36.2480676327896,717.0386768797076,640.1,563.1613231202924,30.24344110853867,53.62427931827848
2020-07-31,701.0,14518.563,672.8,645.9,67.19906664738478,38.01492472136488,36.60143905050465,722.8386768797076,645.9,568.9613231202924,30.726052457928766,54.27264286830278
2020-08-03,696.0,25733.096,682.3,651.25,65.66943614036705,37.455146828939746,36.77218060619167,726.4799807257722,651.25,576.0200192742278,31.959905853790996,55.31009301144458
2020-08-04,732.0,19226.303,691.8,656.95,70.8197075439145,39.46152999779247,37.31005048451183,738.2678332224848,656.95,575.6321667775153,32.24848400709164,56.2734395729334
2020-08-05,730.0,13000.226,698.4,660.4,70.18971582401304,40.424234417859,37.93288727118126,747.74391793365,660.4,573.05608206635,31.159306578013666,57.247196270640224
2020-08-06,732.0,12890.678,703.9,664.45,70.47258835385254,40.877359141069405,38.52178164515889,757.0296413905335,664.45,571.8703586094666,30.576498965298406,58.30426044893551
2020-08-07,705.0,14627.882,706.9,668.9,61.92905423865266,38.61268638414231,38.539962592955575,760.2846814296583,668.9,577.5153185703416,30.678177610634233,57.75564253298779
2020-08-10,706.0,11142.754,704.7,672.75,62.112259088084954,36.47811158730042,38.12759239182454,763.5726293387281,672.75,581.9273706612719,29.77259349558893,56.819894958285815
2020-08-11,693.0,9919.208,706.0,676.85,58.19183213670992,33.35298191356617,37.17267029617287,763.4577941065347,676.85,590.2422058934653,28.86026538876115,55.68257147157193
2020-08-12,680.0,11113.131,705.8,680.4,54.488077491752406,29.487390494958845,35.635614335930065,761.219304624576,680.4,599.5806953754239,28.155960718135354,53.75235090630546
2020-08-13,684.0,11410.405,705.9,684.65,55.42810931743993,26.44184291063732,33.796860050871516,756.3222400933578,684.65,612.9777599066422,28.359106381125684,52.27562031699887
2020-08-14,680.0,9672.925,703.8,688.3,54.222024668946055,23.435310268668673,31.724550094430946,750.6060189708849,688.3,625.993981029115,27.33345592533099,50.85182601375563
2020-08-17,685.0,6056.362,702.7,692.5,55.524773201388435,21.211556087426402,29.621951293030037,740.3476749696357,692.5,644.6523250303643,26.238209073521634,49.696391083990015
2020-08-18,617.0,42330.663,691.2,691.5,39.19027189130377,13.803069978619192,26.458175030147867,744.5037734505753,691.5,638.4962265494247,29.22119413969866,46.27493592822914
2020-08-19,609.0,23597.107,679.1,688.75,37.78205227711599,7.20322393919912,22.607184811958117,751.9097181754313,688.75,625.5902818245687,28.633965986863043,43.48447099856549
2020-08-20,565.0,34165.307,662.4,683.15,31.151893425108756,-1.5596551394257858,17.773816821681336,766.2096773410549,683.15,600.0903226589451,30.874396987801397,42.29043774869128
2020-08-21,604.0,21528.784,652.3,679.6,41.02985239590753,-5.2962737322011435,13.15979871090484,769.5341981673263,679.6,589.6658018326738,31.597654345815585,41.18169258809381
2020-08-24,585.0,14910.954,640.2,672.45,38.15755482395085,-9.679137031586947,8.592011562406482,768.3926391131689,672.45,576.5073608868312,30.84067903540019,40.15214351039616
2020-08-25,589.0,9904.789,629.8,667.9,39.12375783424311,-12.683612413936658,4.3368867671378535,770.3868772087434,667.9,565.4131227912566,29.352059104300174,39.19613365253405
2020-08-26,578.0,10781.13,619.6,662.7,37.39355939018914,-15.770496403937841,0.315410132922714,772.1168177201284,662.7,553.2831822798717,28.398340596850165,38.594022185297995
2020-08-27,558.0,14917.596,607.0,656.45,34.41361825173356,-19.60471609520448,-3.6686151127027253,774.4575845020133,656.45,538.4424154979868,28.58417341136087,38.468986826160354
2020-08-28,574.0,13150.295,596.4,650.1,38.62729136102241,-21.10896552744805,-7.15668519565179,771.4555107937003,650.1,528.7444892062997,28.11387531054938,38.39977086909222
2020-08-31,556.0,17151.699,583.5,643.1,35.83779586042556,-23.482847954106774,-10.421917747342787,769.1188874732665,643.1,517.0811125267336,28.320027074081565,37.91460577019099
2020-09-01,576.0,10727.355,579.4,635.3,40.94118096953679,-23.479674949875175,-13.033469187849265,757.599795584458,635.3,513.0002044155419,28.011453711647167,37.464095321211275
2020-09-02,596.0,18844.801,578.1,628.6,45.60085784777013,-21.614172739153787,-14.749609898110169,743.8950996356739,628.6,513.3049003643262,28.367778446529513,35.48681956613158
2020-09-03,603.0,13478.883,581.9,622.15,47.17190324918337,-19.347877015777726,-15.66926332164368,727.5981389119792,622.15,516.7018610880208,27.69865141463455,33.39670183166145
2020-09-04,603.0,13800.424,581.8,617.05,47.171903249183366,-17.351800571357444,-16.005770771586434,715.6187070017673,617.05,518.4812929982326,27.720176313589228,32.02608380851533
2020-09-07,598.0,7040.189,583.1,611.65,46.069720540104136,-15.989042096995604,-16.002425036668267,701.5905915035033,611.65,521.7094084964966,27.168735148332853,30.615510950121813
2020-09-08,604.0,6683.057,584.6,607.2,47.650420073023405,-14.26051004902547,-15.654042039139707,689.042776101497,607.2,525.3572238985031,26.370968352023365,29.257336100505963
2020-09-09,595.0,10096.718,586.3,602.95,45.49630583492535,-13.46168283139616,-15.215570197590997,677.7550132009868,602.95,528.1449867990133,25.773042041164555,28.452622279269736
2020-09-10,599.0,7278.603,590.4,598.7,46.65064475328834,-12.3633232411579,-14.645120806304378,663.6063941380189,598.7,533.7936058619812,24.789253323938514,27.289559808948997
2020-09-11,595.0,7587.495,592.5,594.45,45.6103521564244,-11.680980847197361,-14.052292814482975,647.5667581842106,594.45,541.3332418157895,24.232878086514337,26.672678876179514
2020-09-14,609.0,8675.428,597.8,590.65,49.82747760758848,-9.896456397830093,-13.2211255311524,624.7983528153277,590.65,556.5016471846723,24.001958223191885,25.724256666961423
2020-09-15,611.0,7364.558,601.3,590.35,50.41890714740026,-8.226000417296405,-12.2221005083812,623.6623100369778,590.35,557.0376899630222,23.073246921535322,24.628546027089474
2020-09-16,617.0,10590.991,603.4,590.75,52.237881584840395,-6.344862536054393,-11.046652913915839,625.1236817929073,590.75,556.3763182070927,22.639443569997088,22.89388006344993
2020-09-17,599.0,12572.944,603.0,592.45,46.7023974055459,-6.234627870852705,-10.084247905303211,624.8689759245995,592.45,560.0310240754006,22.736626172140152,22.2699155033375
2020-09-18,611.0,11400.876,603.8,592.8,50.470537948967205,-5.119946832636515,-9.091387690769873,625.8551055058084,592.8,559.7448944941915,22.54115287413014,21.769098381140733
2020-09-21,616.0,8107.351,605.6,594.35,51.993512992068915,-3.789413861582375,-8.030992924932374,628.6794334354614,594.35,560.0205665645386,21.931070525977987,20.626308272555892
